status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,52,52,,,,,a3bc3dc4df15e853,a3bc3dc4df15e853,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,53,53,,,,,bc070fe9a55388c6,bc070fe9a55388c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,54,54,,,,,98eb184abc6528fe,98eb184abc6528fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,55,55,,,,,7f1fc9116d075620,7f1fc9116d075620,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,56,56,,,,,299bb73aa4baf2e1,299bb73aa4baf2e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,57,57,,,,,29239829c3c7fd49,29239829c3c7fd49,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,58,58,,,,,cbddccfaff87b82e,cbddccfaff87b82e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,59,59,,,,,35b58e77fd916f7f,35b58e77fd916f7f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,60,60,,,,,41cdd1d7aa8c6999,41cdd1d7aa8c6999,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,61,61,,,,,1b143c189328d454,1b143c189328d454,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,62,62,,,,,ff9ef6e2787040cd,ff9ef6e2787040cd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,63,63,,,,,d6e9af2e2688ea9b,d6e9af2e2688ea9b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,64,64,,,,,8b43208b6b02924d,8b43208b6b02924d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,65,65,,,,,72a6a2cb15374f2d,72a6a2cb15374f2d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,66,66,,,,,47362d770119d42f,47362d770119d42f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,67,67,,,,,384bf807788a86e1,384bf807788a86e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,68,68,,,,,590937308df581c6,590937308df581c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,69,69,,,,,2d470511285d3d02,2d470511285d3d02,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
