status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,57,57,,rAaqN54BFOP5uam1PXch,Y,,29239829c3c7fd49,29239829c3c7fd49,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,58,58,,rQaqN54BFOP5uam1PXch,Y,,cbddccfaff87b82e,cbddccfaff87b82e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,59,59,,rgaqN54BFOP5uam1PXch,Y,,35b58e77fd916f7f,35b58e77fd916f7f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,60,60,,rwaqN54BFOP5uam1PXch,Y,,41cdd1d7aa8c6999,41cdd1d7aa8c6999,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,61,61,,sAaqN54BFOP5uam1PXch,Y,,1b143c189328d454,1b143c189328d454,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,62,62,,sQaqN54BFOP5uam1PXch,Y,,ff9ef6e2787040cd,ff9ef6e2787040cd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,63,63,,sgaqN54BFOP5uam1PXch,Y,,d6e9af2e2688ea9b,d6e9af2e2688ea9b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,64,64,,swaqN54BFOP5uam1PXch,Y,,8b43208b6b02924d,8b43208b6b02924d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,65,65,,tAaqN54BFOP5uam1PXch,Y,,72a6a2cb15374f2d,72a6a2cb15374f2d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,66,66,,tQaqN54BFOP5uam1PXch,Y,,47362d770119d42f,47362d770119d42f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,67,67,,tgaqN54BFOP5uam1PXch,Y,,384bf807788a86e1,384bf807788a86e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,68,68,,twaqN54BFOP5uam1PXci,Y,,590937308df581c6,590937308df581c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,69,69,,uAaqN54BFOP5uam1PXci,Y,,2d470511285d3d02,2d470511285d3d02,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,70,70,,uQaqN54BFOP5uam1PXci,Y,,c954799b0a0f6b4a,c954799b0a0f6b4a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,71,71,,ugaqN54BFOP5uam1PXci,Y,,7798e5746677e3e2,7798e5746677e3e2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,72,72,,uwaqN54BFOP5uam1PXci,Y,,e75c607de29381fe,e75c607de29381fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,73,73,,vAaqN54BFOP5uam1PXci,Y,,b04771f7b24e6f0e,b04771f7b24e6f0e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,74,74,,vQaqN54BFOP5uam1PXci,Y,,44645972e5b37145,44645972e5b37145,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,75,75,,vgaqN54BFOP5uam1PXci,Y,,7db25e9beb586885,7db25e9beb586885,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,76,76,,vwaqN54BFOP5uam1PXci,Y,,f1b0be93786d4ef6,f1b0be93786d4ef6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,77,77,,wAaqN54BFOP5uam1PXci,Y,,ad29b57baa881a4a,ad29b57baa881a4a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,78,78,,wQaqN54BFOP5uam1PXci,Y,,f5e4b1a40a7ac218,f5e4b1a40a7ac218,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,79,79,,wgaqN54BFOP5uam1PXci,Y,,ae63b8a30cd895e2,ae63b8a30cd895e2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,80,80,,wwaqN54BFOP5uam1PXci,Y,,e2f311a3facb45bf,e2f311a3facb45bf,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,81,81,,xAaqN54BFOP5uam1PXci,Y,,6213970fdbc3c5f0,6213970fdbc3c5f0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,82,82,,xQaqN54BFOP5uam1PXci,Y,,46cafaba61c23e36,46cafaba61c23e36,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,83,83,,xgaqN54BFOP5uam1PXci,Y,,4548ad59b73cbb71,4548ad59b73cbb71,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,84,84,,xwaqN54BFOP5uam1PXci,Y,,688e9d4fd259d6a9,688e9d4fd259d6a9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,85,85,,yAaqN54BFOP5uam1PXci,Y,,0b331c0ac43a1811,0b331c0ac43a1811,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,86,86,,yQaqN54BFOP5uam1PXci,Y,,eba7eebf610602d0,eba7eebf610602d0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,87,87,,ygaqN54BFOP5uam1PXci,Y,,a0526d2e9282f9a9,a0526d2e9282f9a9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,88,88,,ywaqN54BFOP5uam1PXci,Y,,98d219f10bd7ceb7,98d219f10bd7ceb7,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,89,89,,zAaqN54BFOP5uam1PXci,Y,,4cc39dccef9bce0c,4cc39dccef9bce0c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,90,90,,zQaqN54BFOP5uam1PXci,Y,,c0096b03edd41c8f,c0096b03edd41c8f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,91,91,,zgaqN54BFOP5uam1PXci,Y,,97f5493e8561dab2,97f5493e8561dab2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
MATCHED,alignment_text_fingerprint,high,,92,92,,zwaqN54BFOP5uam1PXci,Y,,15d5f13be6941afb,15d5f13be6941afb,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,,False,False
