status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,65,65,S4y1MJ4BXb1gYwgPz7Tv,S4y1MJ4BXb1gYwgPz7Tv,,,72a6a2cb15374f2d,72a6a2cb15374f2d,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,66,66,TIy1MJ4BXb1gYwgPz7Tv,TIy1MJ4BXb1gYwgPz7Tv,,,47362d770119d42f,47362d770119d42f,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,67,67,TYy1MJ4BXb1gYwgPz7Tv,TYy1MJ4BXb1gYwgPz7Tv,,,384bf807788a86e1,384bf807788a86e1,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,68,68,Toy1MJ4BXb1gYwgPz7Tv,Toy1MJ4BXb1gYwgPz7Tv,,,590937308df581c6,590937308df581c6,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,69,69,T4y1MJ4BXb1gYwgPz7Tv,T4y1MJ4BXb1gYwgPz7Tv,,,2d470511285d3d02,2d470511285d3d02,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,70,70,UIy1MJ4BXb1gYwgPz7Tv,UIy1MJ4BXb1gYwgPz7Tv,,,c954799b0a0f6b4a,c954799b0a0f6b4a,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,71,71,UYy1MJ4BXb1gYwgPz7Tv,UYy1MJ4BXb1gYwgPz7Tv,,,7798e5746677e3e2,7798e5746677e3e2,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,72,72,Uoy1MJ4BXb1gYwgPz7Tv,Uoy1MJ4BXb1gYwgPz7Tv,,,e75c607de29381fe,e75c607de29381fe,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,73,73,U4y1MJ4BXb1gYwgPz7Tv,U4y1MJ4BXb1gYwgPz7Tv,,,b04771f7b24e6f0e,b04771f7b24e6f0e,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,74,74,VIy1MJ4BXb1gYwgPz7Tv,VIy1MJ4BXb1gYwgPz7Tv,,,44645972e5b37145,44645972e5b37145,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
