status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,30,30,Ph2xMJ4BfLc99Jc4X45_,DY2cN54BXb1gYwgPS09o,Y,,d6ca62aabb3b31e1,d6ca62aabb3b31e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,31,31,Px2xMJ4BfLc99Jc4X45_,Do2cN54BXb1gYwgPS09o,Y,,c8f61b18c9f56d9c,c8f61b18c9f56d9c,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,32,32,QB2xMJ4BfLc99Jc4X45_,D42cN54BXb1gYwgPS09o,Y,,d1d1ac9c18fab9a6,d1d1ac9c18fab9a6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,33,33,QR2xMJ4BfLc99Jc4X45_,EI2cN54BXb1gYwgPS09o,Y,,c8038e19470f11aa,c8038e19470f11aa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,34,34,Qh2xMJ4BfLc99Jc4X45_,EY2cN54BXb1gYwgPS09o,Y,,180878fb7309889d,180878fb7309889d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,35,35,Qx2xMJ4BfLc99Jc4X45_,Eo2cN54BXb1gYwgPS09o,Y,,046ad2e683c96121,046ad2e683c96121,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,36,36,RB2xMJ4BfLc99Jc4X45_,E42cN54BXb1gYwgPS09o,Y,,86f18a6a00c0daf6,86f18a6a00c0daf6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,37,37,RR2xMJ4BfLc99Jc4X45_,FI2cN54BXb1gYwgPS09o,Y,,872e1bad5d7f07fa,872e1bad5d7f07fa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,38,38,Rh2xMJ4BfLc99Jc4X45_,FY2cN54BXb1gYwgPS09o,Y,,ae9de41cb06f714b,ae9de41cb06f714b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,39,39,Rx2xMJ4BfLc99Jc4X45_,Fo2cN54BXb1gYwgPS09o,Y,,16c817239fa87de0,16c817239fa87de0,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,40,40,SB2xMJ4BfLc99Jc4X45_,F42cN54BXb1gYwgPS09o,Y,,229f965e38489484,229f965e38489484,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,41,41,SR2xMJ4BfLc99Jc4X45_,GI2cN54BXb1gYwgPS09o,Y,,e9f6b56177c2fbe9,e9f6b56177c2fbe9,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,42,42,Sh2xMJ4BfLc99Jc4X45_,GY2cN54BXb1gYwgPS09o,Y,,ecddb56195faf9e3,ecddb56195faf9e3,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,43,43,Sx2xMJ4BfLc99Jc4X45_,Go2cN54BXb1gYwgPS09o,Y,,24710d7d43279c55,24710d7d43279c55,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,44,44,TB2xMJ4BfLc99Jc4X45_,G42cN54BXb1gYwgPS09o,Y,,c339431d61c7eaf2,c339431d61c7eaf2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,45,45,TR2xMJ4BfLc99Jc4X45_,HI2cN54BXb1gYwgPS09o,Y,,e2f1809f7585d57e,e2f1809f7585d57e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,46,46,Th2xMJ4BfLc99Jc4X45_,HY2cN54BXb1gYwgPS09o,Y,,5c7abb09aed6db6b,5c7abb09aed6db6b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,47,47,Tx2xMJ4BfLc99Jc4X45_,Ho2cN54BXb1gYwgPS09o,Y,,fde43229544b7d1f,fde43229544b7d1f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,48,48,UB2xMJ4BfLc99Jc4X45_,H42cN54BXb1gYwgPS09o,Y,,62ad6936122cffd8,62ad6936122cffd8,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,49,49,UR2xMJ4BfLc99Jc4X45_,II2cN54BXb1gYwgPS09o,Y,,945d33ae756479fa,945d33ae756479fa,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,50,50,Uh2xMJ4BfLc99Jc4X45_,IY2cN54BXb1gYwgPS09o,Y,,eda224a31815d43b,eda224a31815d43b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,51,51,Ux2xMJ4BfLc99Jc4X45_,Io2cN54BXb1gYwgPS09o,Y,,45289f16b7672579,45289f16b7672579,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,52,52,VB2xMJ4BfLc99Jc4X45_,I42cN54BXb1gYwgPS09o,Y,,a3bc3dc4df15e853,a3bc3dc4df15e853,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,53,53,VR2xMJ4BfLc99Jc4X45_,JI2cN54BXb1gYwgPS09o,Y,,bc070fe9a55388c6,bc070fe9a55388c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,54,54,Vh2xMJ4BfLc99Jc4X45_,JY2cN54BXb1gYwgPS09o,Y,,98eb184abc6528fe,98eb184abc6528fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,55,55,Vx2xMJ4BfLc99Jc4X45_,Jo2cN54BXb1gYwgPS09o,Y,,7f1fc9116d075620,7f1fc9116d075620,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,56,56,WB2xMJ4BfLc99Jc4X45_,J42cN54BXb1gYwgPS09o,Y,,299bb73aa4baf2e1,299bb73aa4baf2e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,57,57,WR2xMJ4BfLc99Jc4X45_,KI2cN54BXb1gYwgPS09o,Y,,29239829c3c7fd49,29239829c3c7fd49,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,58,58,Wh2xMJ4BfLc99Jc4X45_,KY2cN54BXb1gYwgPS09o,Y,,cbddccfaff87b82e,cbddccfaff87b82e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,59,59,Wx2xMJ4BfLc99Jc4X45_,Ko2cN54BXb1gYwgPS09o,Y,,35b58e77fd916f7f,35b58e77fd916f7f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,60,60,XB2xMJ4BfLc99Jc4X45_,K42cN54BXb1gYwgPS09o,Y,,41cdd1d7aa8c6999,41cdd1d7aa8c6999,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,61,61,XR2xMJ4BfLc99Jc4X45_,LI2cN54BXb1gYwgPS09o,Y,,1b143c189328d454,1b143c189328d454,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,62,62,Xh2xMJ4BfLc99Jc4X45_,LY2cN54BXb1gYwgPS09o,Y,,ff9ef6e2787040cd,ff9ef6e2787040cd,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,63,63,Xx2xMJ4BfLc99Jc4X45_,Lo2cN54BXb1gYwgPS09o,Y,,d6e9af2e2688ea9b,d6e9af2e2688ea9b,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,64,64,YB2xMJ4BfLc99Jc4X45_,L42cN54BXb1gYwgPS09o,Y,,8b43208b6b02924d,8b43208b6b02924d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,65,65,YR2xMJ4BfLc99Jc4X45_,MI2cN54BXb1gYwgPS09o,Y,,72a6a2cb15374f2d,72a6a2cb15374f2d,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,66,66,Yh2xMJ4BfLc99Jc4X45_,MY2cN54BXb1gYwgPS09o,Y,,47362d770119d42f,47362d770119d42f,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,67,67,Yx2xMJ4BfLc99Jc4X45_,Mo2cN54BXb1gYwgPS09o,Y,,384bf807788a86e1,384bf807788a86e1,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,68,68,ZB2xMJ4BfLc99Jc4X45_,M42cN54BXb1gYwgPS09o,Y,,590937308df581c6,590937308df581c6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,69,69,ZR2xMJ4BfLc99Jc4X45_,NI2cN54BXb1gYwgPS09o,Y,,2d470511285d3d02,2d470511285d3d02,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,70,70,Zh2xMJ4BfLc99Jc4X45_,NY2cN54BXb1gYwgPS09o,Y,,c954799b0a0f6b4a,c954799b0a0f6b4a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,71,71,Zx2xMJ4BfLc99Jc4X45_,No2cN54BXb1gYwgPS09o,Y,,7798e5746677e3e2,7798e5746677e3e2,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,72,72,aB2xMJ4BfLc99Jc4X45_,N42cN54BXb1gYwgPS09o,Y,,e75c607de29381fe,e75c607de29381fe,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,73,73,aR2xMJ4BfLc99Jc4X45_,OI2cN54BXb1gYwgPS09o,Y,,b04771f7b24e6f0e,b04771f7b24e6f0e,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,74,74,ah2xMJ4BfLc99Jc4X45_,OY2cN54BXb1gYwgPS09o,Y,,44645972e5b37145,44645972e5b37145,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,75,75,ax2xMJ4BfLc99Jc4X45_,Oo2cN54BXb1gYwgPS09o,Y,,7db25e9beb586885,7db25e9beb586885,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,76,76,bB2xMJ4BfLc99Jc4X45_,O42cN54BXb1gYwgPS09o,Y,,f1b0be93786d4ef6,f1b0be93786d4ef6,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,77,77,bR2xMJ4BfLc99Jc4X45_,PI2cN54BXb1gYwgPS09o,Y,,ad29b57baa881a4a,ad29b57baa881a4a,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,78,78,bh2xMJ4BfLc99Jc4X45_,PY2cN54BXb1gYwgPS09o,Y,,f5e4b1a40a7ac218,f5e4b1a40a7ac218,0,0,0,,,en-CA;fr-CA,en-CA;fr-CA,,,False,False
